Homo sapiens
Mus musculus
Arabidopsis thaliana
Rattus norvegicus
Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Plasmodium falciparum (isolate 3D7)
Bos taurus
Drosophila melanogaster
Escherichia coli (strain K12)
Vitis vinifera
Synechococcus elongatus (strain PCC 7942 / FACHB-805)
Sus scrofa
Gallus gallus
